983:distance error all: 0.0039890000000006864;distance error:0.0009980000000000544
986:distance error all: 0.001994999999999969;distance error:0.0
989:distance error all: 0.009975000000000733;distance error:0.0
992:distance error all: 0.001995000000000857;distance error:0.000997000000001691
995:distance error all: 0.0019929999999988013;distance error:0.0
998:distance error all: 0.0029930000000000234;distance error:0.0
1002:distance error all: 0.000996000000000663;distance error:0.0
1005:distance error all: 0.0029889999999994643;distance error:0.000997000000001691
1008:distance error all: 0.0029959999999995546;distance error:0.0010000000000012221
1011:distance error all: 0.009975999999998209;distance error:0.0009969999999981383
1014:distance error all: 0.009971000000000174;distance error:0.000994999999999635
1017:distance error all: 0.01596100000000078;distance error:0.0009969999999981383
1020:distance error all: 0.013960999999998336;distance error:0.0019969999999993604
1023:distance error all: 0.004985999999998825;distance error:0.0
1026:distance error all: 0.0019949999999973045;distance error:0.0009959999999971103
1029:distance error all: 0.010972000000002424;distance error:0.0009979999999991662
1032:distance error all: 0.009973999999999705;distance error:0.0009990000000001942
1035:distance error all: 0.009972999999998677;distance error:0.006979999999998654
1038:distance error all: 0.012966999999999729;distance error:0.0
1041:distance error all: 0.004986999999999853;distance error:0.000996000000000663
1044:distance error all: 0.002992000000002548;distance error:0.000998000000002719
1047:distance error all: 0.011970999999999066;distance error:0.0
1050:distance error all: 0.008987000000001188;distance error:0.0
1053:distance error all: 0.0009969999999981383;distance error:0.0
1056:distance error all: 0.0009990000000001942;distance error:0.0
1059:distance error all: 0.008976000000000539;distance error:0.0
1062:distance error all: 0.001995000000000857;distance error:0.0
1065:distance error all: 0.0019969999999993604;distance error:0.0
1068:distance error all: 0.0029909999999979675;distance error:0.0
1071:distance error all: 0.0019939999999998292;distance error:0.0009959999999971103
1074:distance error all: 0.0039879999999996585;distance error:0.00100100000000225
1077:distance error all: 0.002987000000000961;distance error:0.000994999999999635
1080:distance error all: 0.02293900000000093;distance error:0.0009999999999976694
1083:distance error all: 0.012965000000001226;distance error:0.000996000000000663
1086:distance error all: 0.004985999999998825;distance error:0.0009979999999991662
1089:distance error all: 0.0019939999999998292;distance error:0.0009969999999981383
1092:distance error all: 0.0019959999999983324;distance error:0.0
1095:distance error all: 0.0129659999999987;distance error:0.000992000000000104
1098:distance error all: 0.012966999999999729;distance error:0.0
1101:distance error all: 0.0039890000000006864;distance error:0.0009969999999981383
1104:distance error all: 0.005986000000000047;distance error:0.0029919999999989955
