3648:jump=0all: 0.008975000000001288;jump=0:0.0059830000000005160.006977000000000899
3648:jump=0all: 0.008977999999999042;jump=0:0.00.0009990000000001942
3648:jump=0all: 0.0010000000000012221;jump=0:0.00100000000000122210.0010000000000012221
3649:jump=0all: 0.011963999999998975;jump=0:0.0089749999999995110.009967999999998867
3649:jump=0all: 0.001994999999999081;jump=0:0.00.0
3650:jump=0all: 0.0109729999999999;jump=0:0.008979000000000070.009978000000000264
3701:jump=0all: 0.00198999999999927;jump=0:0.00.0
3702:jump=0all: 0.003989999999999938;jump=0:0.0019950000000008570.003989999999999938
3703:jump=0all: 0.011968000000001311;jump=0:0.0019950000000008570.010970000000000368
3704:jump=0all: 0.0089699999999997;jump=0:0.0079770000000003450.0089699999999997
3705:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3705:jump=0all: 0.001995000000000857;jump=0:0.00.000996000000000663
3706:jump=0all: 0.008975000000001288;jump=0:0.006982000000000710.007975000000000065
3707:jump=0all: 0.000996000000000663;jump=0:0.00.000996000000000663
3708:jump=0all: 0.003992000000000218;jump=0:0.00099999999999944580.0019939999999998292
3709:jump=0all: 0.001995000000000857;jump=0:0.0009960000000006630.000996000000000663
3709:jump=0all: 0.000994999999999635;jump=0:0.00.000994999999999635
3710:jump=0all: 0.001994999999999081;jump=0:0.00099699999999991460.0009969999999999146
3711:jump=0all: 0.00897699999999979;jump=0:0.0069799999999986540.007972999999999786
3712:jump=0all: 0.01795300000000033;jump=0:0.0059840000000015440.01595600000000097
3713:jump=0all: 0.002990999999999744;jump=0:0.00.000994999999999635
3713:jump=0all: 0.0009969999999999146;jump=0:0.00099699999999991460.0009969999999999146
3714:jump=0all: 0.0029919999999989955;jump=0:0.00099400000000038350.0019930000000005776
3715:jump=0all: 0.01595700000000022;jump=0:0.0039899999999999380.013961000000000112
3716:jump=0all: 0.013961000000000112;jump=0:0.008974000000000260.009973000000000454
3717:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3717:jump=0all: 0.009973999999999705;jump=0:0.00.0009999999999994458
3718:jump=0all: 0.0009980000000009426;jump=0:0.00.0009980000000009426
3719:jump=0all: 0.003989999999999938;jump=0:0.0009949999999996350.0019939999999998292
3720:jump=0all: 0.009972999999998677;jump=0:0.00099799999999916620.00897699999999979
3721:jump=0all: 0.009969999999999146;jump=0:0.0089749999999995110.008974999999999511
3721:jump=0all: 0.0010010000000004737;jump=0:0.00.0
3722:jump=0all: 0.022940999999999434;jump=0:0.0099750000000007330.010972000000000648
3723:jump=0all: 0.004980999999999014;jump=0:0.00099400000000038350.0029919999999989955
3724:jump=0all: 0.010970000000000368;jump=0:0.0099720000000012020.010970000000000368
3724:jump=0all: 0.010969000000001117;jump=0:0.0089760000000005390.009973999999999705
3725:jump=0all: 0.0029889999999994643;jump=0:0.00099699999999991460.0019939999999998292
3726:jump=0all: 0.016953000000000884;jump=0:0.0079760000000010930.00897400000000026
3727:jump=0all: 0.002992000000000772;jump=0:0.00.001995000000000857
3728:jump=0all: 0.0019939999999998292;jump=0:0.00099400000000038350.0019939999999998292
3728:jump=0all: 0.017958999999999392;jump=0:0.00.0010040000000000049
3729:jump=0all: 0.01795100000000005;jump=0:0.00.013961000000000112
3730:jump=0all: 0.011969000000000563;jump=0:0.00099799999999916620.011969000000000563
3731:jump=0all: 0.011965000000000003;jump=0:0.0079759999999993170.008972999999999232
3732:jump=0all: 0.001996000000000109;jump=0:0.00099800000000094260.0009980000000009426
3732:jump=0all: 0.0009979999999991662;jump=0:0.00.0009979999999991662
3733:jump=0all: 0.001994999999999081;jump=0:0.00099699999999991460.001994999999999081
3734:jump=0all: 0.013965000000000671;jump=0:0.00099900000000019420.012967000000001505
3735:jump=0all: 0.0019969999999993604;jump=0:0.00.0009999999999994458
3736:jump=0all: 0.011974999999999625;jump=0:0.00199399999999982920.011969999999999814
3736:jump=0all: 0.0019939999999998292;jump=0:0.00.0
3737:jump=0all: 0.009973000000000454;jump=0:0.00099900000000019420.007977000000000345
3738:jump=0all: 0.009973000000000454;jump=0:0.0069780000000001510.007975999999999317
3739:jump=0all: 0.0009980000000009426;jump=0:0.00099800000000094260.0009980000000009426
3740:jump=0all: 0.009974999999998957;jump=0:0.00099799999999916620.008976000000000539
3740:jump=0all: 0.0019969999999993604;jump=0:0.00.0009979999999991662
3741:jump=0all: 0.021943000000000268;jump=0:0.00.010970000000000368
3742:jump=0all: 0.010969000000001117;jump=0:0.0019960000000001090.010970000000000368
3743:jump=0all: 0.011969000000000563;jump=0:0.0109740000000009270.011969000000000563
3744:jump=0all: 0.0039890000000006864;jump=0:0.00099699999999991460.0029930000000000234
3744:jump=0all: 0.010972000000000648;jump=0:0.00099699999999991460.001996000000000109
3745:jump=0all: 0.001994999999999081;jump=0:0.00.0009969999999999146
3746:jump=0all: 0.008976000000000539;jump=0:0.0069790000000011790.007974000000000814
3747:jump=0all: 0.016956000000000415;jump=0:0.0069790000000011790.009975000000000733
3748:jump=0all: 0.0029940000000010514;jump=0:0.00100000000000122210.0029940000000010514
3748:jump=0all: 0.00199899999999964;jump=0:0.00.0010009999999986974
3749:jump=0all: 0.009965999999998587;jump=0:0.0079749999999982890.007974999999998289
3750:jump=0all: 0.011974000000000373;jump=0:0.008981000000000350.009978000000000264
3751:jump=0all: 0.0019939999999998292;jump=0:0.0009960000000006630.0019939999999998292
3752:jump=0all: 0.01097099999999962;jump=0:0.00.009972000000001202
