332663;786,594,10,17,;[0.94455963],
332664;786,594,10,16,;[0.95408076],
332665;786,594,11,16,;[0.9397221],
332666;787,594,10,17,;[0.9169312],
332667;787,594,10,17,;[0.90420115],
332668;786,592,10,18,;[0.93526894],
332669;786,592,10,18,;[0.9285609],
332670;787,593,9,17,;[0.9331378],
332671;786,592,10,18,;[0.935411],
332672;788,593,9,17,;[0.95396215],
332673;787,592,10,18,;[0.9593007],
332674;787,593,10,18,;[0.94584376],
332675;787,593,10,18,;[0.9604215],
332676;786,592,10,17,;[0.9450517],
332677;786,591,10,18,;[0.9454937],
332678;786,591,11,18,;[0.9489712],
332679;786,591,11,18,;[0.9407281],
332680;786,591,10,18,;[0.9364083],
332681;786,591,10,18,;[0.9302744],
332682;786,591,10,18,;[0.9488126],
332683;786,591,10,18,;[0.9561389],
332684;787,593,9,17,;[0.9510153],
332685;787,593,9,17,;[0.95929474],
332686;788,593,9,17,;[0.9512766],
332687;787,593,9,17,;[0.95141095],
332688;786,593,10,17,;[0.9642639],
332689;786,593,10,16,;[0.96510327],
332690;785,593,10,17,;[0.96788424],
332691;785,593,10,17,;[0.9537696],
332692;785,593,11,17,;[0.9672196],
332693;785,592,11,18,;[0.96555406],
332694;785,593,10,17,;[0.950679],
332695;785,593,10,17,;[0.9527732],
332696;785,591,11,18,;[0.93104815],
332697;784,591,12,18,;[0.9324049],
332698;784,592,12,18,;[0.94627404],
332699;784,593,12,17,;[0.9368455],
332700;785,592,11,18,;[0.93271255],
332701;786,592,11,19,;[0.93497694],
332702;784,593,12,17,;[0.89265907],
332703;785,593,11,17,;[0.9119306],
332704;784,592,12,18,;[0.917645],
332705;784,592,12,18,;[0.9150648],
332706;785,594,10,16,;[0.9192103],
332707;785,594,11,17,;[0.88156897],
332708;785,593,10,17,;[0.93093467],
332709;785,594,11,17,;[0.89459527],
332710;785,594,11,17,;[0.8715608],
332711;785,594,11,17,;[0.90723324],
332712;783,592,12,18,;[0.9204302],
